ID,Capital,Latitude,Longitude,,,,,,,
UK,London,51.36,-0.05,,,,,,,
US,WashDC,39.91,-77.02,,,,,,,
Can,Ottawa,45.27,-75.42,,,,,,,
Ire,Dublin,53.21,-6.15,,,,,,,
Ger,Berlin,52.30,13.25,,,,,,,
Fran,Paris,48.50,2.20,,,,,,,
Belg,Brussels,50.51,4.21,,,,,,,
Neth,Amsterdam,52.23,4.54,,,,,,,
Italy,Rome,41.54,12.29,,,,,,,
Switz,Bern,46.57,7.28,,,,,,,
Swed,Stockholm,59.20,18.03,,,,,,,
Den,Copenhagen,55.41,12.34,,,,,,,
Nor,Oslo,59.55,10.45,,,,,,,
Fin,Helsinki,60.15,25.03,,,,,,,
Ice,Reykjavik,64.10,-21.57,,,,,,,
