ID,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
A01,0,2,10,4,5,5,9,7,4,3,3,7,3,2,5,1,4,1,0,1
A02,2,0,5,1,3,1,4,2,6,2,5,4,3,2,2,6,3,1,1,1
A03,10,5,0,8,9,5,11,7,8,8,14,17,9,11,11,5,9,4,6,5
A04,4,1,8,0,4,0,3,4,2,3,5,3,11,4,7,0,4,3,3,0
A05,5,3,9,4,0,3,5,7,4,3,5,6,3,4,4,1,2,1,3,3
A06,5,1,5,0,3,0,5,2,3,2,2,4,4,3,1,1,2,0,1,2
A07,9,4,11,3,5,5,0,5,4,6,3,9,5,5,4,2,6,3,2,2
A08,7,2,7,4,7,2,5,0,3,0,3,4,2,1,3,0,1,1,1,0
A09,4,6,8,2,4,3,4,3,0,1,3,2,4,5,4,3,4,1,3,2
A10,3,2,8,3,3,2,6,0,1,0,4,7,5,5,7,2,2,3,3,2
A11,3,5,14,5,5,2,3,3,3,4,0,9,3,4,4,2,4,2,3,1
A12,7,4,17,3,6,4,9,4,2,7,9,0,7,7,8,3,7,2,4,3
A13,3,3,9,11,3,4,5,2,4,5,3,7,0,8,11,3,8,2,5,3
A14,2,2,11,4,4,3,5,1,5,5,4,7,8,0,8,1,5,4,4,1
A15,5,2,11,7,4,1,4,3,4,7,4,8,11,8,0,2,5,2,2,1
A16,1,6,5,0,1,1,2,0,3,2,2,3,3,1,2,0,6,1,0,1
A17,4,3,9,4,2,2,6,1,4,2,4,7,8,5,5,6,0,4,3,3
A18,1,1,4,3,1,0,3,1,1,3,2,2,2,4,2,1,4,0,2,1
A19,0,1,6,3,3,1,2,1,3,3,3,4,5,4,2,0,3,2,0,6
A20,1,1,5,0,3,2,2,0,2,2,1,3,3,1,1,1,3,1,6,0
